Are you sure you want to delete this IP address?,আপনি কি নিশ্চিত যে আপনি এই আইপি ঠিকানাটি মুছতে চান?
Are you sure you want to delete this source code?,আপনি কি এই উত্স কোডটি মুছতে চান?
Are you sure you want to delete this user?,আপনি কি নিশ্চিত যে আপনি এই ব্যবহারকারীকে মুছতে চান?
Are you sure you want to delete?,আপনি মুছে ফেলতে চান?
Arrest Player,গ্রেপ্তার প্লেয়ার
attempt,প্রয়াস
attempt and continue until the,চেষ্টা করুন এবং অবিরত অবধি
Attempts,প্রচেষ্টা
Authenticate,বিশুদ্ধতা প্রমাণ করা
Authentication Failure,প্রমাণীকরণ ব্যর্থতা
Authentication Required,প্রমাণীকরণ প্রয়োজন
Automatic Ban,স্বয়ংক্রিয় নিষেধাজ্ঞা
Avatar,অবতার
Backup/Restore,ব্যাকআপ / পুনরুদ্ধার করুন
Ban IP Address,আইপি ঠিকানা নিষিদ্ধ
Bank Account,ব্যাংক হিসাব
Bank Account Balance,ব্যাংক অ্যাকাউন্টের ব্যালেন্স
Bank Hash Algorithm,ব্যাংক হ্যাশ অ্যালগরিদম
Bank Password,ব্যাংক পাসওয়ার্ড
Bank Password Hash,ব্যাঙ্কের পাসওয়ার্ড হ্যাশ
Bank Password Length,ব্যাঙ্কের পাসওয়ার্ড দৈর্ঘ্য
Banking System,ব্যাংকিং সিস্টেম
Banned IPs,নিষিদ্ধ আইপি
BEGIN SECURE COMMUNIQUE,সুরক্ষিত যোগাযোগ শুরু করুন
Black Market,কালোবাজার
Bonus reward for those that complete the level.,যারা স্তরটি সম্পূর্ণ করেন তাদের জন্য বোনাস পুরষ্কার।
Bot,বট
Bot added,বট যোগ করা হয়েছে
Bot Reward,বট পুরষ্কার
Botnet,বটনেট
Botnet Command & Control,বোটনেট কমান্ড এবং নিয়ন্ত্রণ
Botnet Monitor,বোটনেট মনিটর
Botnet Scored,বোটনেট স্কোরড
Botnets,botnets
Bots,বট
Box,বক্স
Box Difficulty,বক্স অসুবিধা
Box Hints,বক্স ইঙ্গিত
Box Hints Taken,বক্স ইঙ্গিত নেওয়া হয়েছে
Box Name,বক্স নাম
Boxes,বক্স
Bribe,ঘুষ
Bribe Amount,ঘুষের পরিমাণ
Bribe History,ঘুষের ইতিহাস
Bribe Pending,ঘুষের মুলতুবি রয়েছে
Bribe Price,ঘুষের দাম
Bribes in Progress,অগ্রগতিতে ঘুষ
Buy,কেনা
Buy Source Code,উত্স কোড কিনুন
Buy Upgrade,আপগ্রেড কিনুন
bytes,বাইট
Capture Message,বার্তা ক্যাপচার করুন
Capture Rate,ক্যাপচার রেট
Captures,ধরা
Case-Sensitive,কেস সংবেদনশীল
Cash Stolen,নগদ চুরি
Categories,ধরন
Category,বিভাগ
Category box belongs too?,ক্যাটাগরি বক্সও কি?
Category Name,বিভাগ নাম
Change,পরিবর্তন
Change Avatar,অবতারটি পরিবর্তন করুন
Characters,অক্ষর
Charts,চার্ট
Chat,চ্যাট করুন
Checksum,চেকসাম
Choose,চয়ন করুন
Choose a name for your new team!,আপনার নতুন দলের জন্য একটি নাম চয়ন করুন!
Choose Avatar,অবতারকে বেছে নিন
Classic,সর্বোত্তম
Clear,পরিষ্কার
Clear all notifications and game history,সমস্ত বিজ্ঞপ্তি এবং গেমের ইতিহাস সাফ করুন
Clear all team / player flag captures,সমস্ত দল / প্লেয়ার পতাকা ক্যাপচার সাফ করুন
Clear all team pastebin and file shares,সমস্ত টিমের পেস্টবিন এবং ফাইল শেয়ার সাফ করুন
Clear market items or source code purchases,বাজারের আইটেম বা উত্স কোড ক্রয় সাফ করুন
Click here to login,লগ - ইন করতে এখানে ক্লিক করুন
Close,ঘনিষ্ঠ
Command & Control,কমান্ড এবং নিয়ন্ত্রণ
Complete,সম্পূর্ণ
Complete Bribe,সম্পূর্ণ ঘুষ
Complete this bribe?,এই ঘুষ সম্পূর্ণ?
Completed,সম্পন্ন
Completed Bribes,সম্পন্ন ঘুষ
Completion Message,সমাপ্তির বার্তা
completion of Level,স্তর সমাপ্তি
Completion Reward,পুরষ্কার পুরষ্কার
Configuration,কনফিগারেশন
Confirm,নিশ্চিত করা
Confirm Account Password,অ্যাকাউন্টের পাসওয়ার্ড নিশ্চিত করুন
Confirm New Password,নিশ্চিত কর নতুন গোপননম্বর
Confirm Password,পাসওয়ার্ড নিশ্চিত করুন
Content,সন্তুষ্ট
Content Missing,সামগ্রী অনুপস্থিত
Corporation,নিগম
Corporation box belongs too?,কর্পোরেশন বক্সও কি?
Corporation Name,কর্পোরেশন নাম
Corporations,করপোরেশনের
Cost,মূল্য
Cost to open this level and see flags,এই স্তরটি খোলার জন্য এবং পতাকাগুলি দেখতে ব্যয়
Cracked by,দ্বারা ফাটল
Create,সৃষ্টি
Create Box,বক্স তৈরি করুন
Create Category,বিভাগ তৈরি করুন
Create Corporation,কর্পোরেশন তৈরি করুন
Create Datetime Flag,ডেটটাইম ফ্ল্যাগ তৈরি করুন
Create File Flag,ফাইল পতাকা তৈরি করুন
Create Flag,পতাকা তৈরি করুন
Create Game Level,গেম স্তর তৈরি করুন
Create Hint,ইঙ্গিত তৈরি করুন
Create Message,বার্ত তৈরি কর
Create Multiple Choice Flag,একাধিক পছন্দ পতাকা তৈরি করুন
Create New Paste,নতুন পেস্ট তৈরি করুন
Create Notification,বিজ্ঞপ্তি তৈরি করুন
Create Regex Flag,রেজেক্স পতাকা তৈরি করুন
Create Static Flag,স্থির পতাকা তৈরি করুন
Create Team,দল তৈরি
Created,নির্মিত
Current algorithm,বর্তমান অ্যালগরিদম
Current Bank Account Password,কারেন্ট ব্যাঙ্ক অ্যাকাউন্টের পাসওয়ার্ড
Current Bank Password,বর্তমান ব্যাঙ্কের পাসওয়ার্ড
Current Level,বর্তমান স্তর
Current Level,বর্তমান স্তর
CyberChef,CyberChef
Data Points,ডেটা পয়েন্টস
Date,তারিখ
Datetime Flag,তারিখের সময় পতাকা
Datetime Token,ডেটটাইম টোকেন
DEBUG,ডিবাগ
Decline,পতন
Decline Bribe?,ঘুষ কমে?
Decline this bribe?,এই ঘুষ অস্বীকার করবেন?
Declined,অস্বীকার
Decrease All Captures,সমস্ত ক্যাপচার হ্রাস করুন
Decrease flag reward by this percent per capture.,ক্যাপচার প্রতি এই শতাংশ দ্বারা পতাকা পুরষ্কার হ্রাস করুন।
Decrease flag until it reaches this minimum value.,পতাকাটি এটি সর্বনিম্ন মান না হওয়া পর্যন্ত হ্রাস করুন।
Decrease Future Captures,ভবিষ্যতের ক্যাপচার হ্রাস করুন
Decreases the flag value for future captures - this method rewards speed of capture.,ভবিষ্যতের ক্যাপচারের জন্য পতাকাটির মান হ্রাস করে - এই পদ্ধতিটি ক্যাপচারের গতির প্রতিদান দেয়।
Decreases the flag value for past and future team captures - this method rewards difficulty.,অতীত এবং ভবিষ্যতের দল ক্যাপচারের জন্য পতাকা মান হ্রাস করে - এই পদ্ধতিটি অসুবিধার পুরস্কৃত করে।
deduct on & after,উপর এবং পরে ছাড়
defaults to,ডিফল্ট
Delete,মুছে ফেলা
Delete Box,বক্স মুছুন
Delete Category,বিভাগ মুছুন
Delete Corporation,কর্পোরেশন মুছুন
Delete File Upload,ফাইল আপলোড মুছুন
Delete Flag,পতাকা মুছুন
Delete Game Level,গেম স্তরটি মুছুন
Delete Hint,ইঙ্গিত মুছুন
Delete IP Address,আইপি ঠিকানা মুছুন
Delete Player,প্লেয়ার মুছুন
Delete Source Code,উত্স কোড মুছুন
Delete Team,দল মুছুন
Delete User,ব্যবহারকারী মুছুন
Dependent Flag,নির্ভরশীল পতাকা
Description,বিবরণ
DESCRIPTION,বর্ণনা
Details,বিস্তারিত
Difficulty,অসুবিধা
Difficulty Rating,অসুবিধা রেটিং
Disable,অক্ষম
Disabling this option will skip the storyline and give the player an instant capture message.,এই বিকল্পটি অক্ষম করা গল্পের পংক্তিটি এড়িয়ে যাবে এবং প্লেয়ারটিকে তাত্ক্ষণিক ক্যাপচার বার্তা দেবে।
Display Hints Taken,ইঙ্গিতগুলি প্রদর্শন করুন
Do not delete or modify community flags unless instructed. Do not attack other players unless outlined in the game goals.,নির্দেশনা না দিলে সম্প্রদায়ের পতাকাগুলি মুছুন বা সংশোধন করবেন না। গেমের গোলগুলির মধ্যে উল্লেখ না করা পর্যন্ত অন্যান্য খেলোয়াড়দের আক্রমণ করবেন না।
Download,ডাউনলোড
Download File,ডাউনলোড ফাইল
Download the command line botnet monitor,কমান্ড লাইন বোটনেট মনিটরটি ডাউনলোড করুন
Dynamic Decay Type,গতিশীল ক্ষয়ের ধরণ
Dynamic Scoring,গতিশীল স্কোরিং
Each flag has a submit.  The player will choose the flag they intend to capture.,প্রতিটি পতাকা একটি জমা আছে। প্লেয়ারটি ক্যাপচারের উদ্দেশ্যে তাদের পতাকাটি বেছে নেবে।
"Each player will target challenges of varying difficulty and sophistication, attempting to collect flags and win glory.  Good luck!",প্রতিটি প্লেয়ার বিভিন্ন অসুবিধা এবং পরিশীলনের চ্যালেঞ্জগুলি লক্ষ্য করে পতাকা সংগ্রহের চেষ্টা করে এবং গৌরব অর্জন করতে পারে। শুভকামনা!
Edit,সম্পাদন করা
Edit Access,অ্যাক্সেস সম্পাদনা করুন
Edit Account,অ্যাকাউন্ট সম্পাদনা করুন
Edit Box,সম্পাদনা বাক্স
Edit Category,বিভাগ সম্পাদনা করুন
Edit Corporation,সম্পাদনা কর্পোরেশন
Edit Flag,পতাকা সম্পাদনা করুন
Edit Flag,পতাকা সম্পাদনা করুন
Edit Game Level,খেলা স্তর সম্পাদনা করুন
Edit Hint,ইঙ্গিত সম্পাদনা করুন
Edit Level,স্তর সম্পাদনা করুন
Edit Market Item,বাজার আইটেম সম্পাদনা করুন
Edit Player,প্লেয়ার সম্পাদনা করুন
Edit Team,দল সম্পাদনা করুন
Edit User,ব্যবহারকারী সম্পাদনা করুন
Email,ইমেইল
EMPTY,খালি
Enable,সক্ষম করা
"Enabling this feature will allow players to create their own teams during registration.  If this option is disabled, the admin must create teams for players to join.",এই বৈশিষ্ট্যটি সক্ষম করা খেলোয়াড়দের নিবন্ধের সময় তাদের নিজস্ব দল তৈরি করতে অনুমতি দেবে। যদি এই বিকল্পটি অক্ষম করা থাকে তবে অ্যাডমিনকে অবশ্যই খেলোয়াড়দের যোগদানের জন্য দল তৈরি করতে হবে।
Enabling this feature will allow players to share code (pastebin) and files in-game.  Disabling this feature will remove these options from the Tools Menu.,এই বৈশিষ্ট্যটি সক্ষম করা খেলোয়াড়দের কোড (পেস্টবিন) এবং ইন-গেমের ফাইলগুলি ভাগ করার অনুমতি দেবে। এই বৈশিষ্ট্যটি অক্ষম করা সরঞ্জাম মেনু থেকে এই বিকল্পগুলি সরিয়ে ফেলবে।
"Enabling this feature will allow teams to purchase upgrades, such as the Federal Reserve, Source Code Market, or SWAT.","এই বৈশিষ্ট্যটি সক্ষম করা টিমগুলিকে ফেডারেল রিজার্ভ, সোর্স কোড মার্কেট বা সোয়াট এর মতো আপগ্রেড কেনার অনুমতি দেবে।"
"Enabling this feature will allow the game to display flag or box capture messages that may be added. By default, the game follows the story line of Morris, an employer that assigns missions.","এই বৈশিষ্ট্যটি সক্ষম করা গেমটিকে ফ্ল্যাগ বা বক্স ক্যাপচার বার্তাগুলি প্রদর্শনের অনুমতি দেবে যা যুক্ত হতে পারে। ডিফল্টরূপে, গেমটি মোরিসের কাহিনী অনুসরণ করে, একটি নিয়োগকারী যা মিশনগুলি অর্পণ করে।"
"Enabling this feature will apply a penalty for incorrect capture attempts.  The penalty is an instant deduction from the score, not a decrease in the flag value.","এই বৈশিষ্ট্যটি সক্ষম করা ভুল ক্যাপচার প্রচেষ্টার জন্য একটি জরিমানা প্রয়োগ করবে। জরিমানাটি পতাকাঙ্ক্যের মান হ্রাস নয়, স্কোর থেকে তাত্ক্ষণিক ছাড় is"
"Enabling this feature will decrease the reward for a flag based on the number of captures.  If this option is disabled, the flag value remains consistent as other players capture it.","এই বৈশিষ্ট্যটি সক্ষম করা ক্যাপচারের সংখ্যার ভিত্তিতে একটি পতাকার জন্য পুরষ্কার হ্রাস করবে। যদি এই বিকল্পটি অক্ষম করা থাকে, অন্য খেলোয়াড়েরা এটিকে ক্যাপচার করার সাথে সাথে পতাকাটির মানটি সামঞ্জস্য থাকে।"
Enabling this feature will display the number of hints taken on the scoreboard by a team or player.  Useful when hints are free.  A lower hint count is used for sorting when scores or flags are equal.  Disabling this option will remove the hint count from the scoreboard.,এই বৈশিষ্ট্যটি সক্ষম করা কোনও দল বা প্লেয়ার দ্বারা স্কোরবোর্ডে নেওয়া ইঙ্গিতগুলির সংখ্যা প্রদর্শন করবে। ইঙ্গিতগুলি মুক্ত থাকলে দরকারী। স্কোর বা পতাকা সমান হলে বাছাইয়ের জন্য একটি নিম্ন ইঙ্গিত গণনা ব্যবহৃত হয়। এই বিকল্পটি অক্ষম করা স্কোরবোর্ড থেকে ইঙ্গিত গণনা সরিয়ে ফেলবে।
"Enabling this feature will display the player MVP scoreboard.  Any player that has contributed points to the team will be displayed.  If this option is disabled, the MVP Scoreboard will be hidden.","এই বৈশিষ্ট্যটি সক্ষম করা প্লেয়ারকে এমভিপি স্কোরবোর্ড প্রদর্শন করবে। যে খেলোয়াড় দলে পয়েন্ট অবদান রেখেছেন তা প্রদর্শিত হবে। যদি এই বিকল্পটি অক্ষম করা হয়, এমভিপি স্কোরবোর্ডটি লুকানো থাকবে।"
Enabling this feature will require players to provide a valid registration token in order to create a new account.  Registration tokens are created in the admin interface.,এই বৈশিষ্ট্যটি সক্ষম করার জন্য খেলোয়াড়দের একটি নতুন অ্যাকাউন্ট তৈরি করতে একটি বৈধ নিবন্ধকরণ টোকেন সরবরাহ করতে হবে। অ্যাডমিন ইন্টারফেসে নিবন্ধকরণ টোকেন তৈরি করা হয়।
Enabling this feature will require players to provide an email address in order to create a new account.,এই বৈশিষ্ট্যটি সক্ষম করার জন্য খেলোয়াড়দের একটি নতুন অ্যাকাউন্ট তৈরি করার জন্য একটি ইমেল ঠিকানা সরবরাহ করা প্রয়োজন।
Enabling this feature will send flag and level unlock notifications to all players in the game.  Disabling this option will limit those notifications to team members.,এই বৈশিষ্ট্যটি সক্ষম করা গেমের সমস্ত খেলোয়াড়কে পতাকা এবং স্তর আনলক বিজ্ঞপ্তি প্রেরণ করবে। এই বিকল্পটি অক্ষম করা টিম সদস্যদের মধ্যে এই বিজ্ঞপ্তিগুলি সীমাবদ্ধ করবে।
"Enabling this feature will set the game and scoreboard up for team competitive play.  If this option is disabled, the game is set up for individual competitive play.",এই বৈশিষ্ট্যটি সক্ষম করা টিম প্রতিযোগিতামূলক খেলার জন্য গেম এবং স্কোরবোর্ড সেট করবে। যদি এই বিকল্পটি অক্ষম করা হয় তবে গেমটি পৃথক প্রতিযোগিতামূলক খেলার জন্য সেট আপ করা হয়।
"Enabling this feature will set the game to use a money based scoring system.  If this option is disabled, the game uses a points based scoring system.","এই বৈশিষ্ট্যটি সক্ষম করা গেমটিকে অর্থ ভিত্তিক স্কোরিং সিস্টেমটি ব্যবহার করার জন্য সেট করবে। যদি এই বিকল্পটি অক্ষম করা হয়, গেমটি পয়েন্ট ভিত্তিক স্কোরিং সিস্টেম ব্যবহার করে।"
"Enabling this option will set the token to be case sensitive.  If this option is disabled, the answer token is case-insensitive.",এই বিকল্পটি সক্ষম করা টোকেন কেস সংবেদনশীল হিসাবে সেট করবে। যদি এই বিকল্পটি অক্ষম করা থাকে তবে উত্তর টোকেনটি কেস-সংবেদনশীল।
"Enabling this option will set the token to be case senstive.  If this option is disabled, the answer token is case-insenstive.",এই বিকল্পটি সক্ষম করা টোকন কেস সংবেদনশীল হিসাবে সেট করবে। যদি এই বিকল্পটি অক্ষম করা থাকে তবে উত্তর টোকেনটি কেস-সংবেদনশীল।
Enabling this setting activates the botnet features.  Teams can run their bot executables on boxes they pwn and are paid for each bot over time.,এই সেটিংটি সক্ষম করা বটনেট বৈশিষ্ট্যগুলিকে সক্রিয় করে। টিমগুলি তাদের বট এক্সিকিউটেবলগুলি বাক্সে চালিত বাক্সগুলিতে চালাতে পারে এবং প্রতিটি বটের জন্য সময়ের সাথে সাথে তাদের অর্থ প্রদান করা হয়।
END SECURE COMMUNIQUE,সমাপ্তি সুরক্ষা যোগাযোগ
Enter a complex password of,এর একটি জটিল পাসওয়ার্ড প্রবেশ করান
Enter a Matching Flag,একটি ম্যাচিং ফ্ল্যাগ প্রবেশ করান
Enter Choice,চয়েস প্রবেশ করান
Enter the same password as before,আগের মত একই পাসওয়ার্ড লিখুন
ERROR,ত্রুটি
Expire,মেয়াদ শেষ
Export Game Objects,গেম অবজেক্টস এক্সপোর্ট করুন
Export of gameplay settings does not include the entire server and database configuration.,গেমপ্লে সেটিংসের রফতানিতে পুরো সার্ভার এবং ডাটাবেস কনফিগারেশন অন্তর্ভুক্ত থাকে না।
Export XML,এক্সএমএল রফতানি করুন
Export XML,এক্সএমএল রফতানি করুন
Failed Attempts,ব্যর্থ প্রচেষ্টা
Failed Logins,ব্যর্থ লগইন
Failure has a cost. Be careful as penalties are applied when incorrect answers are submitted.,ব্যর্থতার একটি খরচ আছে। ভুল উত্তর জমা দেওয়ার সময় শাস্তি প্রয়োগ হওয়ার কারণে সাবধান হন।
Federal Reserve,ফেডারেল রিজার্ভ
Federal Reserve Bank,ফেডারেল রিজার্ভ ব্যাংক
File,ফাইল
File Description,নথি বিবরণ
File Flag,ফাইল পতাকা
File Name,ফাইলের নাম
File Share,নথি আদান প্রদান
File Sharing,তথ্য ভাগাভাগি
File Size,ফাইলের আকার
First Login,প্রথম লগইন
Flag,পতাকা
Flag Capture,পতাকা ক্যাপচার
Flag Decrease Value,পতাকা হ্রাস মূল্য
Flag Details,পতাকা বিবরণ
Flag File,ফ্ল্যাগ ফাইল
Flag Hints,পতাকা ইঙ্গিত
Flag Minimum Value,সর্বনিম্ন মান ফ্ল্যাগ করুন
Flag Name,পতাকা নাম
Flag Penalty,পতাকা পেনাল্টি
Flag Penalty % Cost,পতাকা পেনাল্টি% খরচ
Flag Penalty Cost,পতাকা জরিমানা ব্যয়
Flag Penalty Start,পেনাল্টি শুরু করুন
Flag Penalty Stop,পেনাল্টি স্টপ ফ্ল্যাগ করুন
Flag Submission Type,পতাকা জমা দেওয়ার ধরণ
Flag Type,পতাকা প্রকার
Flags,পতাকা
Flags / Boxes / Corp.,পতাকা / বাক্স / কর্প।
Flags Captured,পতাকা ক্যাপচার
Flags on,পতাকা চালু
for,জন্য
Forbidden,নিষিদ্ধ
Game,খেলা
Game Control,খেলা নিয়ন্ত্রণ
Game Information,খেলা তথ্য
Game Level,খেলা স্তর
Game Levels,খেলা স্তর
Game Management,গেম ম্যানেজমেন্ট
Game Materials,খেলা উপকরণ
Game Metrics,গেম মেট্রিক্স
Game Name,খেলার নাম
Game Progress,খেলা অগ্রগতি
Garbage File,আবর্জনা ফাইল
Get help with,সাহায্য নিন
Get your registration token from reception,অভ্যর্থনা থেকে আপনার নিবন্ধকরণ টোকেন পান
Glitch in the Matrix,ম্যাট্রিক্সে ভুল
Global Notifications,গ্লোবাল বিজ্ঞপ্তি
Handle,হাতল
Hidden,গোপন
Hide scoreboard during countdown,কাউন্টডাউনের সময় স্কোরবোর্ড লুকান
Hint,ইঙ্গিত
Hint not yet taken,ইঙ্গিত এখনও নেওয়া হয়নি
Hint Taken,ইঙ্গিত নেওয়া
Hints,সংকেতগুলি
Hints on,ইঙ্গিত অন
Hints Taken,ইঙ্গিত নেওয়া হয়েছে
History,ইতিহাস
Home,বাড়ি
How should the next level unlock?,পরবর্তী স্তরটি কীভাবে আনলক করা উচিত?
I accept the,আমি গ্রহণ
"If the flag selection is left empty, the hint will be considered a Box Hint.",পতাকা নির্বাচনটি ফাঁকা রেখে গেলে ইঙ্গিত
"If this option is disabled, there is no cost for submitting incorrect flags.",যদি এই বিকল্পটি অক্ষম করা হয় তবে ভুল পতাকা জমা দেওয়ার জন্য কোনও মূল্য নেই।
Import File,ফাইল আমদানি
Import XML,এক্সএমএল আমদানি করুন
Import XML,এক্সএমএল আমদানি করুন
In Progress,চলমান
"In this case, the flag is a Date / Time string. This flag type will try to match on common datetime format variations and deal with differences like slashes, dashes, padding, 12hr, 24hr, etc.  It can handle a date, time, or a datetime.","এই ক্ষেত্রে, পতাকাটি একটি তারিখ / সময়ের স্ট্রিং। এই পতাকা টাইপটি সাধারণ ডেটটাইম ফর্ম্যাট বৈচিত্রের সাথে মিল রাখার চেষ্টা করবে এবং স্ল্যাশ, ড্যাশ, প্যাডিং, 12 ঘন্টা, 24 ঘন্টা ইত্যাদি মত পার্থক্যগুলির সাথে ডিল করবে এটি কোনও তারিখ, সময় বা তারিখের সময় পরিচালনা করতে পারে।"
"In this case, the flag is a multiple choice question where the selected option is the token.","এই ক্ষেত্রে, পতাকাটি একাধিক পছন্দ প্রশ্ন যেখানে নির্বাচিত বিকল্পটি টোকেন।"
"In this case, the flag is a regular expression. The user must submit the a string which matches the pattern to capture the flag. Matches can be insensitive. Please be sure to test your regex, and ensure its not too broad.","এই ক্ষেত্রে, পতাকাটি একটি নিয়মিত প্রকাশ। ব্যবহারকারীর অবশ্যই স্ট্রিং জমা দিতে হবে যা পতাকাটি ক্যাপচারের জন্য প্যাটার্নের সাথে মেলে। ম্যাচগুলি সংবেদনশীল হতে পারে। আপনার রেজেক্স পরীক্ষা করার বিষয়ে নিশ্চিত হন এবং এটি খুব বিস্তৃত নয় তা নিশ্চিত করুন।"
"In this case, the flag is a static string. The user must submit the exact token to capture the flag.  Whitespace at the beginning and end are stripped.","এই ক্ষেত্রে, পতাকাটি একটি স্ট্যাটিক স্ট্রিং। পতাকাটি ক্যাপচারের জন্য ব্যবহারকারীকে অবশ্যই সঠিক টোকেন জমা দিতে হবে। প্রারম্ভিক এবং শেষে হোয়াইটস্পেস ছিনিয়ে নেওয়া হয়।"
Include gameplay settings (such as those under ,গেমপ্লে সেটিংস অন্তর্ভুক্ত করুন (যেমন এর অধীনে
Income,আয়
Incoming Transmission,ইনকামিং ট্রান্সমিশন
Incorrect,ত্রুটিপূর্ণ
Incorrect Penalty,ভুল দণ্ড
indicates use by another player,অন্য খেলোয়াড় দ্বারা ব্যবহার নির্দেশ করে
INFO,তথ্য
Information,তথ্য
Invalid CSRF Token,অবৈধ সিএসআরএফ টোকেন
IP Address,আইপি ঠিকানা
IP Version,আইপি সংস্করণ
It appears you're an unsophisticated script kiddie!,মনে হচ্ছে আপনি একটি অপ্রয়োজনীয় স্ক্রিপ্ট কিডি!
"It can be visible to all visitors (public), to authenticated users (players), or only to administrators (admins).","এটি সমস্ত দর্শকদের (জনসাধারণের) কাছে, অনুমোদনপ্রাপ্ত ব্যবহারকারীদের (প্লেয়ার), বা কেবল প্রশাসকগণ (প্রশাসকদের) কাছে দৃশ্যমান হতে পারে।"
"It looks like you typed a URL incorrectly, or were attempting to find something you ought not have access to.",দেখে মনে হচ্ছে আপনি কোনও URL টি ভুলভাবে লিখেছেন বা এমন কিছু সন্ধান করার চেষ্টা করছেন যা আপনার অ্যাক্সেস না করে।
"It's about the money and it's time to cash in on those skills!  This game is set up to use a banking system, so waste no time to build your fortune and buy what you need to win.","এটি অর্থ সম্পর্কে এবং সেই দক্ষতাগুলি নগদ করার সময়! এই গেমটি একটি ব্যাঙ্কিং সিস্টেম ব্যবহার করার জন্য সেট আপ করা হয়েছে, সুতরাং আপনার ভাগ্য গড়তে এবং আপনার জয়ের জন্য যা প্রয়োজন তা কিনতে কোনও সময় নষ্ট করবেন না।"
Item Cost,আইটেম ব্যয়
Join Existing Team,বিদ্যমান দলে যোগদান করুন
Known IP Addresses,পরিচিত আইপি ঠিকানাগুলি
Last Ping,শেষ পিং
Learn,শেখা
Level,উচ্চতা
Level Name,স্তরের নাম
Level Number,স্তর সংখ্যা
Level to put box in?,বাক্সে রাখার স্তর?
Level Locked,লেভেল লকড
Level Unlocked,স্তরটি আনলক করা হয়েছে
Limit number of players that can be on any one team,যে কোনও একটি দলে থাকতে পারে এমন খেলোয়াড়ের সীমাবদ্ধ করুন
"Limits the number of attempts to capture a flag.  Once the limit is reached, no further action can be taken on that flag.","একটি পতাকা ক্যাপচার করার প্রচেষ্টা সীমাবদ্ধ করে। সীমাটি পৌঁছে গেলে, পতাকাটিতে আর কোনও পদক্ষেপ নেওয়া যাবে না।"
Linux,লিনাক্স
Lock,তালা
Locked by,দ্বারা লকড
Login,লগইন
Login Password,প্রবেশের গুপ্তসংকেত
Logout,প্রস্থান
MacOS,ম্যাক অপারেটিং সিস্টেম
Mainframe Console,মেনফ্রেম কনসোল
Manage Black Market,ব্ল্যাক মার্কেট পরিচালনা করুন
Manage Categories,বিভাগগুলি পরিচালনা করুন
Managed,পরিচালিত
Market Objects,মার্কেট অবজেক্টস
Max,ম্যাক্স
Max Flag Attempts,সর্বোচ্চ পতাকা চেষ্টা
Max PasteBin Size,সর্বাধিক পেস্টবিনের আকার
Max Team Size,সর্বাধিক দলের আকার
Maximum Flag Attempts,সর্বাধিক পতাকা প্রচেষ্টা
Maximum Penalty,সর্বোচ্চ শাস্তি
Maximum Penalty is determined as,সর্বোচ্চ শাস্তি হিসাবে নির্ধারিত হয়
Min user password length,সর্বনিম্ন ব্যবহারকারীর পাসওয়ার্ডের দৈর্ঘ্য
